Date Local,Site Num,Arithmetic Mean,AQI,Latitude,Longitude
2023-01-03,4002,5.3,29.0,35.050918,-85.293019
2023-01-06,4002,3.0,17.0,35.050918,-85.293019
2023-01-09,4002,9.5,52.0,35.050918,-85.293019
2023-01-12,4002,5.1,28.0,35.050918,-85.293019
2023-01-15,4002,5.7,32.0,35.050918,-85.293019
2023-01-18,4002,11.6,56.0,35.050918,-85.293019
2023-01-21,4002,5.3,29.0,35.050918,-85.293019
2023-01-24,4002,7.2,40.0,35.050918,-85.293019
2023-01-27,4002,3.6,20.0,35.050918,-85.293019
2023-01-30,4002,12.5,57.0,35.050918,-85.293019
2023-02-04,4002,8.3,46.0,35.050918,-85.293019
2023-02-08,4002,20.7,73.0,35.050918,-85.293019
2023-02-11,4002,4.1,23.0,35.050918,-85.293019
2023-02-14,4002,9.9,52.0,35.050918,-85.293019
2023-02-17,4002,2.3,13.0,35.050918,-85.293019
2023-02-20,4002,8.7,48.0,35.050918,-85.293019
2023-02-23,4002,10.1,53.0,35.050918,-85.293019
2023-02-26,4002,3.3,18.0,35.050918,-85.293019
2023-03-01,4002,16.6,65.0,35.050918,-85.293019
2023-03-04,4002,2.4,13.0,35.050918,-85.293019
2023-03-07,4002,11.6,56.0,35.050918,-85.293019
2023-03-10,4002,9.2,51.0,35.050918,-85.293019
2023-03-13,4002,3.1,17.0,35.050918,-85.293019
2023-03-16,4002,15.7,63.0,35.050918,-85.293019
2023-03-19,4002,3.4,19.0,35.050918,-85.293019
2023-03-22,4002,21.2,74.0,35.050918,-85.293019
2023-03-28,4002,6.9,38.0,35.050918,-85.293019
2023-03-31,4002,11.7,56.0,35.050918,-85.293019
2023-04-01,4002,5.7,32.0,35.050918,-85.293019
2023-04-02,4002,4.1,23.0,35.050918,-85.293019
2023-04-03,4002,10.2,53.0,35.050918,-85.293019
2023-04-06,4002,4.1,23.0,35.050918,-85.293019
2023-04-09,4002,3.3,18.0,35.050918,-85.293019
2023-04-12,4002,10.8,54.0,35.050918,-85.293019
2023-04-15,4002,9.2,51.0,35.050918,-85.293019
2023-04-18,4002,7.0,39.0,35.050918,-85.293019
2023-04-21,4002,11.3,55.0,35.050918,-85.293019
2023-04-24,4002,4.9,27.0,35.050918,-85.293019
2023-04-27,4002,6.7,37.0,35.050918,-85.293019
2023-04-30,4002,4.9,27.0,35.050918,-85.293019
2023-05-03,4002,3.3,18.0,35.050918,-85.293019
2023-05-06,4002,9.6,52.0,35.050918,-85.293019
2023-05-09,4002,9.0,50.0,35.050918,-85.293019
2023-05-12,4002,8.7,48.0,35.050918,-85.293019
2023-05-15,4002,7.9,44.0,35.050918,-85.293019
2023-05-18,4002,9.1,51.0,35.050918,-85.293019
2023-05-21,4002,19.5,70.0,35.050918,-85.293019
2023-05-24,4002,16.2,64.0,35.050918,-85.293019
2023-05-27,4002,8.1,45.0,35.050918,-85.293019
2023-05-30,4002,6.1,34.0,35.050918,-85.293019
2023-06-02,4002,8.3,46.0,35.050918,-85.293019
2023-06-05,4002,11.7,56.0,35.050918,-85.293019
2023-06-08,4002,18.7,69.0,35.050918,-85.293019
2023-06-11,4002,16.0,64.0,35.050918,-85.293019
2023-06-14,4002,9.2,51.0,35.050918,-85.293019
2023-06-17,4002,19.9,71.0,35.050918,-85.293019
2023-06-20,4002,5.3,29.0,35.050918,-85.293019
2023-06-23,4002,3.8,21.0,35.050918,-85.293019
2023-06-24,4002,12.6,58.0,35.050918,-85.293019
2023-06-25,4002,11.5,55.0,35.050918,-85.293019
2023-06-26,4002,8.2,46.0,35.050918,-85.293019
2023-06-27,4002,11.6,56.0,35.050918,-85.293019
2023-06-29,4002,41.6,116.0,35.050918,-85.293019
2023-07-02,4002,8.1,45.0,35.050918,-85.293019
2023-07-05,4002,8.6,48.0,35.050918,-85.293019
2023-07-08,4002,8.0,44.0,35.050918,-85.293019
2023-07-11,4002,6.2,34.0,35.050918,-85.293019
2023-07-14,4002,7.5,42.0,35.050918,-85.293019
2023-07-17,4002,40.4,113.0,35.050918,-85.293019
2023-07-20,4002,6.4,36.0,35.050918,-85.293019
2023-07-23,4002,7.9,44.0,35.050918,-85.293019
2023-07-26,4002,14.7,61.0,35.050918,-85.293019
2023-07-29,4002,12.9,58.0,35.050918,-85.293019
2023-08-01,4002,8.6,48.0,35.050918,-85.293019
2023-08-04,4002,6.1,34.0,35.050918,-85.293019
2023-08-07,4002,6.5,36.0,35.050918,-85.293019
2023-08-10,4002,4.2,23.0,35.050918,-85.293019
2023-08-13,4002,6.8,38.0,35.050918,-85.293019
2023-08-16,4002,4.5,25.0,35.050918,-85.293019
2023-08-19,4002,9.3,51.0,35.050918,-85.293019
2023-08-22,4002,16.0,64.0,35.050918,-85.293019
2023-08-25,4002,15.1,62.0,35.050918,-85.293019
2023-08-28,4002,6.7,37.0,35.050918,-85.293019
2023-08-31,4002,9.5,52.0,35.050918,-85.293019
2023-09-03,4002,9.7,52.0,35.050918,-85.293019
2023-09-06,4002,10.7,54.0,35.050918,-85.293019
2023-09-09,4002,10.2,53.0,35.050918,-85.293019
2023-09-12,4002,11.4,55.0,35.050918,-85.293019
2023-09-15,4002,7.4,41.0,35.050918,-85.293019
2023-09-18,4002,6.7,37.0,35.050918,-85.293019
2023-09-21,4002,12.5,57.0,35.050918,-85.293019
2023-09-24,4002,6.8,38.0,35.050918,-85.293019
2023-09-27,4002,10.9,54.0,35.050918,-85.293019
2023-09-30,4002,9.7,52.0,35.050918,-85.293019
2023-10-03,4002,8.8,49.0,35.050918,-85.293019
2023-10-06,4002,10.9,54.0,35.050918,-85.293019
2023-10-09,4002,5.3,29.0,35.050918,-85.293019
2023-10-12,4002,10.3,53.0,35.050918,-85.293019
2023-10-15,4002,1.7,9.0,35.050918,-85.293019
2023-10-18,4002,5.8,32.0,35.050918,-85.293019
2023-10-21,4002,4.8,27.0,35.050918,-85.293019
2023-10-24,4002,8.7,48.0,35.050918,-85.293019
2023-10-27,4002,11.2,55.0,35.050918,-85.293019
2023-10-30,4002,4.8,27.0,35.050918,-85.293019
2023-11-02,4002,13.4,59.0,35.050918,-85.293019
2023-11-05,4002,10.9,54.0,35.050918,-85.293019
2023-11-08,4002,12.9,58.0,35.050918,-85.293019
2023-11-11,4002,4.9,27.0,35.050918,-85.293019
2023-11-14,4002,10.1,53.0,35.050918,-85.293019
2023-11-17,4002,6.3,35.0,35.050918,-85.293019
2023-11-20,4002,7.7,43.0,35.050918,-85.293019
2023-11-23,4002,6.7,37.0,35.050918,-85.293019
2023-11-26,4002,9.8,52.0,35.050918,-85.293019
2023-11-29,4002,8.0,44.0,35.050918,-85.293019
